value,qualifiers,dateTime,station,parameter,param_code
16.4,['P'],2026-02-10 22:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 22:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 23:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 23:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 23:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 23:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 00:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 00:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 00:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-11 00:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-11 01:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-11 01:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-11 01:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.7,['P'],2026-02-11 01:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.7,['P'],2026-02-11 02:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-11 02:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.7,['P'],2026-02-11 02:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-11 02:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-11 03:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-11 03:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-11 03:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-11 03:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-11 04:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-11 04:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-11 04:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 04:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 05:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 05:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-11 05:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-11 05:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-11 06:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-11 06:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-11 06:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-11 06:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-11 07:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-11 07:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-11 07:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-11 07:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-11 08:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-11 08:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-11 08:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 08:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-11 09:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-11 09:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-11 09:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-11 09:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
